category_uid,category_name,category_description,category_parent_id
220-040501,"Corporate Taxation","Business tax processing",220-040500
220-040502,"International Tax","Global tax compliance",220-040500
220-040503,"Estate Tax","Inheritance tax planning",220-040500
220-040504,"Tax Resolution","Dispute settlement service",220-040500
220-040505,"Tax Compliance","Regulation adherence service",220-040500
220-040600,"Investment Services","Investment management and advice",220-040000
220-040601,"Asset Management","Investment portfolio oversight",220-040600
220-040602,"Risk Assessment","Investment risk evaluation",220-040600
220-040603,"Market Analysis","Market trend evaluation",220-040600
220-040604,"Alternative Investments","Non-traditional investment",220-040600
220-040605,"Global Investment","International market access",220-040600
220-040700,"Business Law","Corporate legal services",220-040000
220-040701,"Contract Review","Legal agreement analysis",220-040700
220-040702,"Merger Assistance","Business combination law",220-040700
220-040703,"Regulatory Compliance","Business law adherence",220-040700
220-040704,"Partnership Law","Business relation legality",220-040700
220-040705,"Commercial Disputes","Business conflict resolution",220-040700
220-040800,"Personal Law","Individual legal services",220-040000
220-040801,"Civil Litigation","Personal dispute handling",220-040800
220-040802,"Consumer Protection","Individual rights defense",220-040800
220-040803,"Personal Injury","Accident claim handling",220-040800
220-040804,"Family Disputes","Domestic issue resolution",220-040800
220-040805,"Identity Protection","Personal privacy defense",220-040800
220-040900,"Estate Planning","Will and estate legal services",220-040000
220-040901,"Will Drafting","Legal document preparation",220-040900
220-040902,"Asset Distribution","Property allocation planning",220-040900
220-040903,"Trust Formation","Trust establishment service",220-040900
220-040904,"Legacy Planning","Inheritance arrangement",220-040900
220-040905,"Estate Administration","Property management service",220-040900
220-041000,"Recruitment Services","Talent acquisition and hiring",220-040000
220-041001,"Executive Search","Leadership talent sourcing",220-041000
220-041002,"Skills Assessment","Candidate evaluation service",220-041000
220-041003,"Background Screening","Candidate verification check",220-041000
220-041004,"Talent Acquisition","Specialized hiring service",220-041000
220-041005,"Placement Services","Position matching assistance",220-041000
220-041100,"HR Consulting","Human resources management",220-040000
220-041101,"Policy Development","HR guidelines creation",220-041100
220-041102,"Performance Management","Employee evaluation systems",220-041100
220-041103,"Benefits Planning","Employee perks strategy",220-041100
220-041104,"Workplace Culture","Organization culture building",220-041100
220-041105,"Compliance Guidance","HR regulation adherence",220-041100
220-041200,"Training Services","Professional development services",220-040000
220-041201,"Leadership Development","Management skill building",220-041200
220-041202,"Technical Training","Specialized skill education",220-041200
220-041203,"Compliance Training","Regulation awareness program",220-041200
220-041204,"Team Building","Group dynamics training",220-041200
220-041205,"Professional Growth","Career advancement education",220-041200
220-041300,"IT Consulting","Technology advisory services",220-040000
220-041301,"Cloud Services","Cloud computing consulting",220-041300
220-041302,Cybersecurity,"Security assessment services",220-041300
220-041303,"Network Services","Network infrastructure planning",220-041300
220-041304,"Data Analytics","Business intelligence services",220-041300
220-041305,"Digital Transformation","Technology modernization",220-041300
220-041400,"Software Development","Custom software creation",220-040000
220-041401,"Custom Solutions","Bespoke software creation",220-041400
220-041402,"Mobile Development","App creation services",220-041400
220-041403,"System Integration","Software connection service",220-041400
220-041404,"Quality Assurance","Software testing service",220-041400
220-041405,"Legacy Modernization","System upgrade service",220-041400
220-041500,"IT Support","Technical support services",220-040000
220-041501,"Network Management","Connection system oversight",220-041500
220-041502,"Hardware Support","Physical equipment service",220-041500
220-041503,"Security Management","Digital protection service",220-041500
220-041504,"Cloud Solutions","Remote storage management",220-041500
220-041505,"User Support","Technical assistance desk",220-041500
220-041600,"Graphic Design","Visual design services",220-040000
220-041601,"Logo Design","Brand identity design",220-041600
220-041602,"Web Design","Website visual design",220-041600
220-041603,"Print Design","Print media design services",220-041600
220-041604,"Package Design","Product packaging design",220-041600
220-041605,"UI/UX Design","User interface design",220-041600
220-041700,"Content Creation","Content development services",220-040000
220-041701,"Technical Writing","Technical document creation",220-041700
220-041702,"Brand Storytelling","Company narrative development",220-041700
220-041703,"Video Production","Visual content creation",220-041700
220-041704,"Social Media Content","Platform-specific writing",220-041700
220-041705,"SEO Writing","Search-optimized content",220-041700
220-041800,"Photography Services","Professional photography",220-040000
220-041801,"Commercial Photography","Business image creation",220-041800
220-041802,"Product Photography","Item showcase photography",220-041800
220-041803,"Corporate Portraits","Professional headshots service",220-041800
220-041804,"Event Documentation","Business event coverage",220-041800
220-041805,"Real Estate Photography","Property documentation service",220-041800
220-041900,"Virtual Assistance","Remote administrative support",220-040000
220-041901,"Email Management","Email organization services",220-041900
220-041902,"Calendar Management","Schedule coordination",220-041900
220-041903,"Travel Arrangements","Business travel planning",220-041900
220-041904,"Document Preparation","Document creation services",220-041900
220-041905,"Customer Support","Remote customer service",220-041900
220-042000,"Office Support","On-site administrative services",220-040000
220-042001,"Document Management","File organization service",220-042000
220-042002,"Meeting Coordination","Business gathering planning",220-042000
220-042003,"Supply Management","Office inventory control",220-042000
220-042004,"Mail Processing","Correspondence handling",220-042000
220-042005,"Reception Services","Front desk management",220-042000
220-042100,"Data Entry","Information processing services",220-040000
220-042101,"Form Processing","Document digitization service",220-042100
220-042102,"Database Management","Information organization",220-042100
220-042103,"Catalog Entry","Product data processing",220-042100
220-042104,"Survey Processing","Research data entry",220-042100
220-042105,"Record Digitization","Paper to digital conversion",220-042100
220-042200,"Translation Services","Language translation and interpretation",220-040000
220-042201,"Document Translation","Written translation services",220-042200
220-042202,"Legal Translation","Legal document translation",220-042200
220-042203,"Medical Translation","Healthcare translation services",220-042200
220-042204,"Technical Translation","Technical document translation",220-042200
220-042205,"Website Translation","Web content translation",220-042200
220-042300,"Research Services","Professional research and analysis",220-040000
220-042301,"Market Research","Industry analysis services",220-042300
220-042302,"Competitive Analysis","Competition research services",220-042300
220-042303,"Consumer Research","Customer behavior analysis",220-042300
220-042304,"Academic Research","Scholarly research services",220-042300
220-042305,"Data Analysis","Research data processing",220-042300
220-042400,"Consulting Services","Specialized consultation services",220-040000
220-042401,"Strategy Development","Business planning guidance",220-042400
220-042402,"Process Optimization","Workflow improvement advice",220-042400
220-042403,"Change Management","Transition support service",220-042400
220-042404,"Innovation Consulting","New solution development",220-042400
220-042405,"Sustainability Planning","Environmental strategy advice",220-042400
220-042500,"Project Management","Professional project oversight",220-040000
220-042501,"IT Project Management","Technology project oversight",220-042500
220-042502,"Construction Management","Building project management",220-042500
220-042503,"Event Management","Event project coordination",220-042500
220-042504,"Product Management","Product development oversight",220-042500
220-042505,"Change Management","Organizational change projects",220-042500
220-050000,Automotive,"Vehicle related services",NULL
220-050100,"General Maintenance","Routine vehicle maintenance services",220-050000
220-050101,"Oil Change Services","Oil change and lubrication",220-050100
220-050102,"Filter Replacement","Vehicle filter services",220-050100
220-050103,"Fluid Services","Vehicle fluid maintenance",220-050100
220-050104,"Belt Services","Belt repair and replacement",220-050100
220-050105,"Tune-Up Services","General vehicle tuning",220-050100
220-050200,"Engine Services","Engine repair and maintenance",220-050000
220-050201,"Engine Repair","Major engine repair work",220-050200
220-050202,"Engine Rebuilding","Complete engine reconstruction",220-050200
220-050203,"Fuel System Service","Fuel system maintenance",220-050200
220-050204,"Timing Belt Service","Timing system maintenance",220-050200
220-050205,"Cooling System Service","Engine cooling maintenance",220-050200
220-050300,"Transmission Services","Transmission repair and maintenance",220-050000
220-050301,"Transmission Repair","Gearbox system restoration",220-050300
